date,MSFT,AAPL,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2018-04-03,89.71,42.1,2.130878859857482,2.1408645624419007,2.132230611437888,0.0711227463248131,0.1213950733086407,0,0.8521271152317863,0.0,0.0
2018-04-04,92.33,42.9,2.1522144522144524,2.146170840862933,2.1345046618319388,0.06949876135328582,0.16786168276713992,0,0.8521271152317863,0.0,0.0
2018-04-05,92.38,43.2,2.1384259259259255,2.14430292657671,2.1363911748361106,0.06800256790029008,0.11634489674272726,0,0.8521271152317863,0.0,0.0
2018-04-06,90.23,42.1,2.1432304038004752,2.137811939398784,2.138372963499727,0.06639487346301529,-0.008449810530263132,0,0.8521271152317863,0.0,0.0
2018-04-09,90.77,42.51,2.135262291225594,2.1400023866047855,2.140367217202083,0.0644123452069657,-0.0056639856245750035,0,0.8521271152317863,0.0,0.0
2018-04-10,92.88,43.31,2.144539367351651,2.1427344881036197,2.1426088553723814,0.06209875544471646,0.00202311190197794,0,0.8521271152317863,0.0,0.0
2018-04-11,91.86,43.11,2.1308281141266527,2.1384572204860595,2.144390257605793,0.06013911835722181,-0.09865520615869201,0,0.8521271152317863,0.0,0.0
2018-04-12,93.58,43.54,2.1492880110243453,2.140629637505744,2.1467838016412157,0.05731632776905963,-0.10737191957357045,0,0.8521271152317863,0.0,0.0
2018-04-13,93.08,43.68,2.130952380952381,2.138174032936125,2.1487504711436154,0.054606791057642656,-0.1936835694360025,0,0.8521271152317863,0.0,0.0
2018-04-16,94.17,43.96,2.142174704276615,2.139556515546329,2.1509489949595006,0.051503944728436876,-0.22119624959292766,0,0.8521271152317863,0.0,0.0
2018-04-17,96.07,44.56,2.15596947935368,2.1418425379467347,2.1532646076028445,0.04841148415445227,-0.2359371924989694,0,0.8521271152317863,0.0,0.0
2018-04-18,96.44,44.46,2.169140800719748,2.149505075265354,2.154912246183579,0.04720668120843148,-0.11454249228727995,0,0.8521271152317863,0.0,0.0
2018-04-19,96.11,43.2,2.2247685185185184,2.1646011767641884,2.1573856061133987,0.0469083590323942,0.15382270451641125,0,0.8521271152317863,0.0,0.0
