date,JNJ,ABT,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2019-08-02,131.07,85.82,1.5272663714751806,1.5067528056460633,1.670306141882592,0.11215371641765899,-1.458296180105688,-2,0.9753256782392066,0.0022552999548940008,-0.003387916431394692
2019-08-05,130.16,83.16,1.5651755651755652,1.5193474895450951,1.6661363601262273,0.11131698403525843,-1.318656554103536,-2,0.982285212987763,0.0022552999548940008,-0.003387916431394692
2019-08-06,130.77,84.86,1.5410087202451097,1.5284211620280428,1.661505908123336,0.11063377629523156,-1.202930520423982,-2,0.9779014880268774,0.0022552999548940008,-0.003387916431394692
2019-08-07,130.21,84.6,1.5391252955082744,1.5372335919678146,1.656871020664368,0.10982202657544987,-1.0893755326428993,-2,0.9775193783242994,0.0022552999548940008,-0.003387916431394692
2019-08-08,131.68,85.56,1.53903693314633,1.542322577110092,1.6525290894151057,0.10923364877393582,-1.0089062623284821,-2,0.9775822694838546,0.0022552999548940008,-0.003387916431394692
2019-08-09,132.04,86.62,1.5243592703763564,1.541741156890327,1.6481110891050148,0.10896270452029243,-0.9762049563929304,0,0.9746847358248718,0.0,0.0
2019-08-12,131.93,84.66,1.5583510512638792,1.54037625410799,1.6440118050594996,0.10760493497927769,-0.9631115057266432,0,0.9746847358248718,0.0,0.0
2019-08-13,133.42,86.89,1.535504661065715,1.539275442272111,1.6391946160597108,0.10584150256507817,-0.9440453070492173,0,0.9746847358248718,0.0,0.0
2019-08-14,130.26,83.94,1.5518227305218013,1.5418149292748164,1.6346109216097606,0.10350663508257714,-0.8965221626701703,0,0.9746847358248718,0.0,0.0
2019-08-15,130.54,83.94,1.5551584465094115,1.5450392319474326,1.630252707020807,0.1011910538416902,-0.8421048288190361,0,0.9746847358248718,0.0,0.0
2019-08-16,131.36,84.78,1.5494220334984667,1.5500517845718549,1.6257503301247918,0.09860178742150977,-0.7677198104871615,0,0.9746847358248718,0.0,0.0
2019-08-19,132.25,85.56,1.5456989247311828,1.5475213592653154,1.620706302110648,0.09468517863561063,-0.7729292366546596,0,0.9746847358248718,0.0,0.0
2019-08-20,130.6,84.54,1.5448308493021052,1.5493865969125935,1.6163915620871088,0.09206662016094981,-0.7277878242665795,0,0.9746847358248718,0.0,0.0
2019-08-21,131.53,84.9,1.5492343934040047,1.5488689294890343,1.6120377858190282,0.08885422442314717,-0.7109268775918546,0,0.9746847358248718,0.0,0.0
2019-08-22,131.27,84.37,1.5558847931729287,1.5490141988217379,1.6090431605380704,0.0876400672956493,-0.6849488318377016,0,0.9746847358248718,0.0,0.0
2019-08-23,127.73,81.93,1.5590137922616867,1.5509325505743816,1.606252111440637,0.08649590933651147,-0.6395627410659982,0,0.9746847358248718,0.0,0.0
2019-08-26,127.8,83.12,1.537536092396535,1.5492999841074522,1.6031658604476313,0.08556875360568444,-0.6295040428940029,0,0.9746847358248718,0.0,0.0
2019-08-27,129.64,83.65,1.5497907949790792,1.5502919732428468,1.6000607358687264,0.08402966065175896,-0.5922761348773554,0,0.9746847358248718,0.0,0.0
2019-08-28,128.68,84.22,1.5279031109000238,1.5460257167420506,1.5967517968400484,0.0828697412043473,-0.6121182395503459,0,0.9746847358248718,0.0,0.0
2019-08-29,128.24,84.82,1.511907568969583,1.5372302719013817,1.593488359427886,0.08227931128042952,-0.683745241069919,0,0.9746847358248718,0.0,0.0
2019-08-30,128.36,85.32,1.5044538209095173,1.5263182776309476,1.590119588153204,0.08170634785225321,-0.7808611227811342,0,0.9746847358248718,0.0,0.0
2019-09-03,128.74,84.06,1.531525101118249,1.5251160793752905,1.5870449734773486,0.08034875792138362,-0.7707511068516059,0,0.9746847358248718,0.0,0.0
2019-09-04,128.86,84.22,1.5300403704583236,1.5211659944711393,1.5840357410642296,0.07901310845998885,-0.7956875487935863,0,0.9746847358248718,0.0,0.0
2019-09-05,128.58,85.9,1.4968568102444704,1.5149567343400288,1.5802645840226104,0.07765000908901863,-0.8410539863261595,0,0.9746847358248718,0.0,0.0
2019-09-06,128.21,86.04,1.4901208740120875,1.5105993953485295,1.5762856142494337,0.07600597086228586,-0.8642244570485144,0,0.9746847358248718,0.0,0.0
2019-09-09,126.95,84.22,1.5073616718119212,1.5111809655290103,1.5729095037405432,0.07445210076897825,-0.8291040490996214,0,0.9746847358248718,0.0,0.0
2019-09-10,129.55,83.21,1.556904218243,1.5162567889539607,1.5704605182593017,0.07246231624444555,-0.7480264517420238,0,0.9746847358248718,0.0,0.0
2019-09-11,131.17,84.52,1.551940369143398,1.5206367886909755,1.5680019985128493,0.07048717863148808,-0.6719691544117888,0,0.9746847358248718,0.0,0.0
2019-09-12,130.43,85.21,1.5306888862809531,1.5274032038982719,1.5654966174878269,0.06905936375394293,-0.5516038885802802,0,0.9746847358248718,0.0,0.0
2019-09-13,130.78,84.27,1.5519164590008308,1.5397623208960205,1.5636038776537504,0.06781769854287281,-0.35155361019303577,0,0.9746847358248718,0.0,0.0
2019-09-16,129.54,83.36,1.553982725527831,1.5490865316392024,1.5615995790716795,0.06625147448577745,-0.18887198405166505,0,0.9746847358248718,0.0,0.0
2019-09-17,129.67,83.58,1.5514477147642975,1.547995230943462,1.5595962566706922,0.06466576766198069,-0.1793997991003666,0,0.9746847358248718,0.0,0.0
2019-09-18,130.41,83.64,1.5591822094691534,1.549443599008613,1.5574356154563789,0.06240099221732652,-0.12807515015036441,0,0.9746847358248718,0.0,0.0
2019-09-19,130.11,83.23,1.5632584404661782,1.555957509845658,1.554952410926637,0.05900809464209981,0.017033237983993487,0,0.9746847358248718,0.0,0.0
2019-09-20,131.65,83.58,1.5751375927255324,1.5606017365905984,1.5527070345791019,0.055470847818175746,0.14232163960021096,0,0.9746847358248718,0.0,0.0
2019-09-23,131.74,83.16,1.5841750841750843,1.5666402083200492,1.5510918700422422,0.05302648913534732,0.29321832411194865,0,0.9746847358248718,0.0,0.0
