date,BA,AIR,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2018-11-21,317.32,93.17,3.405817323172695,3.5234254655062074,3.5604175072562065,0.18780677562761272,-0.19696862174636212,0,1.0492036453806897,0.0,0.0
2018-11-23,312.32,93.41,3.343539235627877,3.464304631617506,3.563112995818991,0.18338938174152633,-0.5387899957084102,0,1.0492036453806897,0.0,0.0
2018-11-26,316.36,93.58,3.3806368882239797,3.417103340944937,3.5664043960879477,0.1781518153800528,-0.838055199294519,0,1.0492036453806897,0.0,0.0
2018-11-27,318.03,93.7,3.394130202774813,3.402529792000062,3.569207312730593,0.17397873701186803,-0.9580338585810123,0,1.0492036453806897,0.0,0.0
2018-11-28,333.5,93.5,3.5668449197860963,3.418193713917092,3.573778032231783,0.17014893325624378,-0.9144007860477225,0,1.0492036453806897,0.0,0.0
2018-11-29,342.56,94.86,3.611216529622602,3.4592735552070737,3.5778678870135185,0.16800134046571705,-0.7059130092515282,0,1.0492036453806897,0.0,0.0
2018-11-30,346.76,94.62,3.664764320439653,3.5235185721694293,3.582805174977885,0.16608693689103116,-0.3569612632891979,0,1.0492036453806897,0.0,0.0
2018-12-03,359.96,95.7,3.7613375130616507,3.599658697136963,3.5899682528218038,0.16432578461249267,0.05897092983922746,0,1.0492036453806897,0.0,0.0
2018-12-04,342.5,94.27,3.6331812877903893,3.6474689141400782,3.5961542259389203,0.15865953754963016,0.32342643243307206,0,1.0492036453806897,0.0,0.0
2018-12-06,331.9,88.64,3.744359205776173,3.6829717713380936,3.604662061084522,0.1524702682533066,0.5136064306220776,0,1.0492036453806897,0.0,0.0
2018-12-07,323.22,89.07,3.6288312563152583,3.686494716676625,3.6099395204798417,0.14757665280170584,0.518748695971903,0,1.0492036453806897,0.0,0.0
2018-12-10,326.35,87.49,3.7301405874957143,3.699569970087837,3.6160281314326133,0.1448023557523322,0.5769370133598691,0,1.0492036453806897,0.0,0.0
2018-12-11,322.03,88.6,3.634650112866817,3.6742324900488703,3.620139845492007,0.14168520481989869,0.38178047330786874,0,1.0492036453806897,0.0,0.0
2018-12-12,326.69,91.48,3.5711630957586356,3.6618288516425195,3.6238486314874825,0.13730247335497828,0.27661715937806824,0,1.0492036453806897,0.0,0.0
2018-12-13,325.47,89.97,3.6175391797265757,3.6364648464326,3.6263968434054847,0.13570725336835446,0.07418912974229547,0,1.0492036453806897,0.0,0.0
2018-12-14,318.75,88.67,3.5947896695612944,3.6296565290818075,3.6290798428499094,0.13340700792063123,0.004322758158560881,0,1.0492036453806897,0.0,0.0
