date,CAT,DE,ratio,ins_ratio,long_mean,long_std,z_score
2022-11-30,236.41,441.0,0.5360770975056689,0.5342353471026275,0.5221198274919577,0.03207500189726795,0.3777246732353825
2022-12-01,235.69,441.81,0.5334646114845748,0.5326269346034189,0.5227736705594307,0.03189627646552611,0.30891580886056585
2022-12-02,236.13,445.61,0.529902829828774,0.5318278779447598,0.5233213526921248,0.031728637104570134,0.26810244715521686
2022-12-05,232.57,436.89,0.532330792648035,0.5329927060421463,0.523709538837781,0.03169340391743597,0.29290533855400097
2022-12-06,228.29,438.25,0.5209127210496292,0.5305376105033364,0.5238181301742243,0.03167211119678241,0.21215763885656938
2022-12-07,228.98,440.65,0.5196414387836151,0.5272504787589256,0.5240234579432896,0.031603212774224114,0.10211053030241159
2022-12-08,230.92,442.93,0.5213464881583997,0.5248268540936906,0.5241852732003491,0.03156355046668282,0.020326638919112017
2022-12-09,227.29,434.81,0.5227340677537315,0.5233931016786821,0.52441993149991,0.0314984004821698,-0.03259942744740544
2022-12-12,233.06,437.05,0.5332570644091065,0.5235783560308963,0.5248698435512983,0.03142735943141768,-0.04109436948466277
2022-12-13,235.49,437.19,0.5386445252636154,0.5271247168736937,0.5254787649841041,0.03133268882751632,0.05253145999216418
2022-12-14,234.48,438.44,0.5348052185019615,0.5301574728173628,0.526049712219549,0.031182460838773157,0.1317330475953363
2022-12-15,230.66,429.79,0.5366807045301193,0.533224316091707,0.5268018480100106,0.030879049934128888,0.20798787836402752
2022-12-16,232.72,431.09,0.5398408684961378,0.5366456762401881,0.5275869634200476,0.030595733987883057,0.29607764349526755
2022-12-19,232.29,432.67,0.5368756789238911,0.537369399143145,0.5283446773714341,0.030245633581750097,0.29838097943355035
2022-12-20,235.14,435.36,0.5401047409040793,0.5376614422712378,0.5291886656087511,0.02984623538711942,0.28388091672503674
2022-12-21,241.73,441.64,0.5473462548682184,0.5401696495444892,0.5302458823446385,0.029334378703277382,0.3382981893099352
2022-12-22,237.54,435.86,0.5449915110356536,0.541831810845596,0.5312458131371236,0.02878314602889891,0.36778459511839934
2022-12-23,239.87,436.93,0.5489895406586868,0.5436615452781058,0.5322871344159413,0.028262753151679684,0.40245233014351667
2022-12-27,243.14,436.15,0.5574687607474492,0.5477801616428175,0.5333879582664094,0.027928309488442524,0.5153266932380564
2022-12-28,239.38,430.18,0.5564647356920359,0.5510521606004088,0.5343675490388187,0.027684666437914587,0.6026661581423405
2022-12-29,240.2,428.64,0.5603770063456514,0.5536583108958953,0.535397655879432,0.0274792394365797,0.6645254887278722
2022-12-30,239.56,428.76,0.5587274932363093,0.5564055073360266,0.5363532582943199,0.02727278061969724,0.7352476933439016
2023-01-03,238.88,424.29,0.5630111480355416,0.5592098288113976,0.5373530413417498,0.0271294167288612,0.805649000422328
2023-01-04,241.36,423.48,0.5699442712760934,0.5617049309171264,0.538543347496225,0.02696323349382863,0.8590061509574732
2023-01-05,240.28,414.73,0.5793648879994213,0.5662849613786035,0.5399203104872,0.026902098909878405,0.9800220785643771
2023-01-06,248.86,426.47,0.5835345979787558,0.5709164797052243,0.5414003986294592,0.026816448425459084,1.1006707751703249
2023-01-09,246.62,428.2,0.5759458197104157,0.5743601450000456,0.5427171483289691,0.026534562124134985,1.1925200243758707
