date,JPM,BAC,ratio,ins_ratio,long_mean,long_std,z_score
2021-02-17,145.1,34.41,4.2167974426038946,4.228185501842181,4.209735946945513,0.051286115021592214,0.35973781380984166
2021-02-18,145.59,34.19,4.258262649897631,4.2329004939199475,4.209320779101579,0.05077988547635441,0.4643514769120265
2021-02-19,148.02,34.54,4.285466126230458,4.242852599944628,4.209521790443266,0.051060956331796976,0.6527650850245883
2021-02-22,149.41,35.15,4.250640113798009,4.246411848356013,4.2086425356768835,0.04985710616577766,0.7575512416132731
2021-02-23,150.61,35.52,4.240146396396397,4.250262545785278,4.208389167013189,0.04965394209339627,0.843304217283025
2021-02-24,153.26,36.38,4.212754260582737,4.249453909381047,4.208542029675215,0.04965301157374663,0.8239556556417156
2021-02-25,151.18,35.93,4.207625939326468,4.239326567266813,4.208978430722171,0.049525693744179,0.6127755968730729
2021-02-26,147.17,34.71,4.239988475943532,4.230231037209428,4.209876912896987,0.049592183271210594,0.41043009139421116
2021-03-01,150.5,35.79,4.20508521933501,4.22112005831683,4.210402005811313,0.04936763146183128,0.21710688133383216
2021-03-02,150.01,35.53,4.222065859836757,4.217503951004901,4.210776652454383,0.0493694614986629,0.13626436963871752
2021-03-03,152.91,36.42,4.1985172981878085,4.214656558525915,4.210856864082776,0.049345157708212385,0.07700237712497877
2021-03-04,150.56,36.5,4.1249315068493155,4.1981176720304845,4.209991519730674,0.05039566317989306,-0.23561249026140543
2021-03-05,150.91,36.93,4.086379637151367,4.167395904272052,4.20826858151865,0.05280856964130725,-0.7739781161318712
2021-03-08,152.91,37.13,4.118233234581201,4.15002550732129,4.206621207095579,0.05405614225898727,-1.0469799991115611
2021-03-09,151.83,36.32,4.18034140969163,4.141680617292264,4.20624148059044,0.05416104003362671,-1.1920166831746906
2021-03-10,155.13,37.37,4.151190794755151,4.132215316605732,4.206568495382219,0.05376029582417032,-1.383050030447519
2021-03-11,154.32,37.24,4.143931256713211,4.136015266578513,4.205887195653072,0.054297064775862,-1.2868454190477971
2021-03-12,156.15,37.94,4.1157090142329995,4.141881141994839,4.204614639771697,0.05550781254602566,-1.1301742025024233
2021-03-15,155.37,37.75,4.115761589403974,4.141386812959393,4.203192044287834,0.05668035928523802,-1.0904170705307812
2021-03-16,153.51,37.64,4.078374070138151,4.1209933450486975,4.201138250934983,0.05892699274295386,-1.3600712026131523
2021-03-17,155.09,37.95,4.086693017127799,4.108093789523227,4.200068392965157,0.06041868520230372,-1.5222874038712733
2021-03-18,157.65,38.94,4.048536209553159,4.089014780091216,4.198319487679661,0.06324310842855083,-1.7283259837225116
2021-03-19,155.14,38.53,4.0264728782766674,4.07116755289995,4.196188409109804,0.06680430760536023,-1.8714490231438738
2021-03-22,150.97,37.66,4.008762612851832,4.049767757589522,4.193578547145524,0.07095894268924896,-2.0266760482296617
2021-03-23,149.46,36.9,4.050406504065041,4.0441742443749,4.191717601747384,0.073227339621737,-2.0148670992915205
2021-03-24,150.62,36.9,4.081842818428185,4.043204204634977,4.190478177426127,0.07445755682961222,-1.9779587064368773
2021-03-25,152.55,37.66,4.0507169410515145,4.043640350934648,4.188657235637147,0.07652355938682852,-1.8950619373235744
2021-03-26,155.09,38.68,4.009565667011375,4.040258908681589,4.186056472373242,0.07989742337634195,-1.8248093308954423
2021-03-29,152.68,38.31,3.9853824066823282,4.035582867447689,4.182788607436804,0.08399358951232437,-1.752583034536419
