date,CVX,XOM,ratio,ins_ratio,long_mean,long_std,z_score
2022-07-27,149.26,91.57,1.6300098285464673,1.6473228357671843,1.746354442874567,0.0917121504375455,-1.079809018051775
2022-07-28,150.39,92.64,1.6233808290155438,1.6406029901742816,1.742598384053295,0.09206191081845078,-1.1079000313186183
2022-07-29,163.78,96.93,1.6896729598679459,1.64737083892325,1.7400512808917035,0.09136256729802282,-1.014424667666483
2022-08-01,160.51,94.48,1.698878069432684,1.6571175574997177,1.7379060825941712,0.09078155030548472,-0.8899222895246434
2022-08-02,159.14,94.07,1.6917189327096842,1.6667321239144652,1.7354181958361543,0.08995019768973607,-0.7636011224634209
2022-08-03,155.36,91.02,1.706877609316634,1.6821056800684986,1.732839508229044,0.08847725664241543,-0.5734109542476922
2022-08-04,151.14,87.19,1.7334556715219633,1.704120648569782,1.730305303875256,0.08617804509667881,-0.3038436910015636
2022-08-05,153.64,88.45,1.7370265686828714,1.7135913703327674,1.727737672508013,0.08356184651993483,-0.16929140228932937
2022-08-08,153.41,88.95,1.7246767847105113,1.7187511133883326,1.7251499508321333,0.08113750264710459,-0.07886411628456742
2022-08-09,155.41,90.59,1.7155315156198254,1.7235136299703613,1.721932563771104,0.07748604383042149,0.020404528623469424
2022-08-10,155.82,91.45,1.7038819026790595,1.722914488642846,1.718844737578603,0.07433692360317809,0.05474737004140872
2022-08-11,159.62,93.19,1.7128447258289516,1.7187922995042437,1.715687916580645,0.07032995253002923,0.04414026758049249
2022-08-12,159.85,94.0,1.7005319148936169,1.711493368746393,1.7125405917662657,0.06654949000938926,-0.01573600368274892
2022-08-15,156.81,92.32,1.698548526863085,1.7062677171769078,1.7099506715530168,0.0639252356012676,-0.05761346581624429
2022-08-16,156.41,91.46,1.7101465121364532,1.7051907164802333,1.7079396177010886,0.06192534761263807,-0.04439056584793781
2022-08-17,157.7,92.2,1.7104121475054228,1.706496765445506,1.7059979782261354,0.05992594481690688,0.008323393496667345
2022-08-18,159.02,94.38,1.6848908667090488,1.7009059936215256,1.7035970131740021,0.05776321448014769,-0.046587081011590634
2022-08-19,157.69,94.08,1.676126700680272,1.6960249507788565,1.7010522321966397,0.05547111447175764,-0.09062881583788555
2022-08-22,156.9,94.01,1.6689713860227635,1.690109522610792,1.6985101665119722,0.053310816088221843,-0.1575786025724731
2022-08-23,161.99,98.0,1.6529591836734694,1.6786720569181952,1.6956045331493554,0.05086752103672995,-0.3328740203190516
2022-08-24,163.19,98.58,1.6554067762223574,1.6676709826615823,1.6927475374345522,0.04811174874668842,-0.5212147848750962
2022-08-25,164.62,99.09,1.6613179937430618,1.662956408068385,1.6901132539969366,0.045306230474278085,-0.5994064313951144
2022-08-26,163.41,97.87,1.669663839787473,1.661663835889825,1.6879055526622413,0.04292001255434238,-0.6114098111968351
2022-08-29,164.63,100.12,1.6443268078306033,1.656734920251393,1.6852778947872227,0.04057968528318205,-0.7033808748551108
2022-08-30,160.62,96.31,1.6677395909043713,1.6596910016975734,1.6832017209490813,0.03812313385375563,-0.6167047898448598
2022-08-31,158.06,95.59,1.6535202427032116,1.6593136949937441,1.68094284141124,0.03568206316079307,-0.606162999040414
